"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Johnny Furphy","Ind","G","20.1","28","7.8","13.4","14","7","1","23","0.435","32","0.344","0.482","0.517","2.1","1.1","0.3","0.3","0.2","0.3","3.3","2.5","3.6","4.5","104","110"
"","TyTy Washington Jr.","Pho","G","23.2","4","6.9","11.2","14.3","0","0","3","0.333","3","0.667","0.667","0.667","2","0.3","1","0.5","0","0.3","2.3","3","3.3","4.9","128.1","121.5"
"","Jalen Hood-Schifino","Lal","G","21.6","2","7.1","9","41","2","1","1","1","0","0","1","1.064","2","0.5","0.5","0","0.5","0.5","2.5","2.5","3","4.5","151.1","101.3"
"","Markieff Morris","Dal","F","35.4","5","5","27.2","12.5","0","0","7","0.286","7","0.286","0.357","0.357","2","1.2","0.6","0","0.2","0.4","3.2","2.6","3.8","9","75","111"
"","Christian Koloko","Lal","C","24.6","22","9.2","9.7","16.2","4","0.75","34","0.618","2","0","0.583","0.596","2","2.5","0.3","0.3","0.4","0.3","4.5","2.4","4.8","5","125.1","104.6"
"","Adama Sanogo","Chi","F","22.9","4","5.4","15.5","12.5","0","0","7","0.571","0","0","0.571","0.571","2","1.5","0.3","0","0","0.3","3.5","2.3","3.8","7.2","125.8","120.1"
"","Tyler Kolek","Nyk","G","23.8","25","5.5","17.3","15.3","6","1","18","0.389","26","0.385","0.5","0.536","2","0.6","0.7","0.3","0","0.3","2.6","2.7","3.3","6.9","108.3","107.9"
"","Alex Reese","Okc","F-G","25.7","1","1.9","22.5","0","0","0","1","1","0","0","1","1","2","1","0","0","0","0","3","2","3","0","0","0"
"","Tyler Smith","Mil","F","20.2","11","3.5","20.5","17.4","2","0.5","6","1","8","0.375","0.75","0.739","2","0.9","0.1","0","0.3","0.3","2.9","2.1","3","6.5","0","0"
"","Anthony Gill","Was","F","32.3","30","6","13.3","12.7","24","0.625","27","0.556","14","0.357","0.549","0.582","2","0.9","0.2","0.2","0","0.2","2.9","2.2","3.2","4.7","113","115.6"
"","Jordan McLaughlin","Sac","G","28.8","26","6.9","14.1","20.6","14","0.714","17","0.353","25","0.4","0.5","0.54","2","0.8","0.9","0.4","0","0.4","2.8","2.9","3.7","6.5","107.3","109.1"
"","Cory Joseph","Orl","G","33.4","28","7.4","14.5","14.9","4","0.5","17","0.353","40","0.35","0.474","0.477","2","0.8","0.9","0.3","0.1","0.4","2.8","2.9","3.6","6.1","99.6","105.8"
"","Matt Ryan","Nyk","F","27.8","14","4","22.7","10.5","2","1","9","0.444","16","0.313","0.46","0.483","1.8","0.4","0","0.1","0","0.2","2.1","1.8","2.1","0","87.1","117.8"
"","Enrique Freeman","Ind","F","24.5","18","7.5","11.4","16.5","13","0.538","19","0.579","6","0.167","0.5","0.521","1.8","1","0.4","0.1","0.1","0.3","2.8","2.2","3.2","4.8","103.9","107.7"
"","Jordan Walsh","Bos","G","20.9","30","8.4","10.9","11.8","10","0.5","16","0.5","36","0.306","0.471","0.479","1.8","1.2","0.3","0.3","0.3","0.2","3","2.1","3.3","4.1","102.6","107.7"
"","Jericho Sims","Nyk","C","26.3","34","12.2","7.6","31.7","13","0.615","45","0.6","0","0","0.6","0.611","1.8","3.7","0.6","0.2","0.3","0.6","5.5","2.5","6.2","5.2","120.3","104.2"
"","Keshad Johnson","Mia","F","23.6","9","5.9","12.3","22.9","4","0.25","6","0.833","4","0.25","0.65","0.595","1.6","1.7","0.3","0.1","0.4","0.3","3.2","1.9","3.6","6.3","98.8","102.4"
"","Jazian Gortman","Dal","G","21.9","15","3.7","23","17.7","4","0.5","12","0.417","11","0.364","0.478","0.485","1.6","0.3","0.4","0.1","0.1","0.3","1.9","2","2.3","6.2","0","0"
"","Ariel Hukporti","Nyk","C","22.8","15","7.9","11.3","40.4","8","0.5","16","0.625","0","0","0.625","0.615","1.6","1.9","0.4","0","0.7","0.7","3.5","2","3.9","5.4","89.1","103.2"
"","Alex Len","Sac","C","31.6","32","7.6","9.6","18.3","13","0.538","35","0.6","5","0.2","0.563","0.569","1.6","1.9","0.9","0.3","0.6","0.3","3.6","2.5","4.5","7.4","127.5","102"
"","Quincy Olivari","Lal","G","23.7","2","5.2","25.7","16.7","0","0","0","0","5","0.2","0.3","0.3","1.5","0","0.5","0","0","0.5","1.5","2","2","0","60.6","124.6"
"","Bryce McGowens","Por","G","22.2","4","2.7","25.2","16.7","1","0","3","1","2","0","0.6","0.551","1.5","0.3","0.3","0","0","0.3","1.8","1.8","2","7.6","0","0"
"","Cam Christie","Lac","G","19.5","4","6.4","18.4","19.6","2","0.5","3","0.333","5","0.2","0.313","0.338","1.5","1.3","0.3","0.5","0","0.5","2.8","1.8","3","5.2","67.9","105.7"
"","Armel Traore","Lal","F","22","8","7.7","16.6","9.9","7","0.286","11","0.455","7","0","0.278","0.285","1.5","1.8","0.1","0.5","0.3","0.3","3.3","1.6","3.4","3.4","59.9","103.8"
"","Terrence Shannon Jr.","Min","G-F","24.5","10","4.6","15.4","18.8","0","0","10","0.6","3","0.333","0.577","0.577","1.5","0.2","0.5","0.2","0.1","0.3","1.7","2","2.2","4.6","103.3","114.9"
"","Pacome Dadiet","Nyk","F","19.5","13","6.4","11.5","4.7","2","1","6","0.167","14","0.357","0.425","0.455","1.5","1","0.4","0.1","0.2","0.1","2.5","1.8","2.8","5.3","102.6","111.3"
"","Dwight Powell","Dal","F-C","33.5","33","7.6","6.5","27.7","30","0.667","17","0.765","1","1","0.806","0.785","1.5","1.8","0.7","0.4","0.5","0.2","3.3","2.2","4","6.5","155","99.1"
"","Colin Castleton","Mem","C","24.7","10","4.6","13.7","8.8","11","0.909","6","0.333","4","0","0.2","0.472","1.4","0.9","0","0.1","0.1","0.1","2.3","1.4","2.3","0","110.3","102.4"
"","Sidy Cissoko","San","G","20.8","14","3.1","17.4","6.3","4","0","9","0.556","6","0.5","0.633","0.567","1.4","0.6","0.4","0","0","0.1","2","1.8","2.4","9","0","0"
"","Yuki Kawamura","Mem","G","23.7","17","3.3","19.5","15.8","6","0.667","6","0.667","15","0.267","0.476","0.508","1.4","0.4","0.7","0.1","0","0.2","1.8","2.1","2.5","8.9","0","0"
"","AJ Johnson","Mil","G","20.1","5","2.1","32.7","25","0","0","5","0.4","1","1","0.583","0.583","1.4","0.4","0.2","0","0","0.4","1.8","1.6","2","9.2","0","0"
"","Jaden Springer","Bos","G","22.3","20","4.8","14.5","12.3","19","0.737","11","0.364","10","0.2","0.333","0.477","1.4","0.8","0.4","0.4","0","0.2","2.2","1.8","2.6","6.4","109.5","94"
"","Jack McVeigh","Hou","G-F","28.6","6","3.6","23","8.3","0","0","3","0.333","8","0.25","0.364","0.364","1.3","0.7","0.2","0","0.2","0.2","2","1.5","2.2","6.3","0","0"
"","Luke Travers","Cle","F","23.4","6","6.9","10.2","21.2","2","1","4","0.75","3","0","0.429","0.508","1.3","1","0.8","0.2","0.2","0.3","2.3","2.2","3.2","5.9","108.7","108.8"
"","Alex Ducas","Okc","G","24.1","9","3.5","13.7","10","0","0","1","0","8","0.5","0.667","0.667","1.3","0.3","0.1","0.1","0","0.1","1.7","1.4","1.8","3.9","0","0"
"","Karlo Matkovic","Nor","F-C","23.8","8","8","11.1","35.3","0","0","9","0.556","2","0","0.455","0.455","1.3","2.3","0.4","0.6","0.8","0.8","3.5","1.6","3.9","5.3","84.1","100.4"
"","JD Davison","Bos","G","22.3","5","4.7","21.8","53.5","2","0.5","2","0.5","3","0.333","0.5","0.51","1.2","0.4","0.2","0.2","0","1.2","1.6","1.4","1.8","3.9","50.5","110.2"
"","Zeke Nnaji","Den","F-C","24","26","4.4","14","11.4","7","0.429","22","0.636","9","0","0.452","0.455","1.2","0.5","0.2","0","0.1","0.2","1.7","1.3","1.8","4.5","89.5","111.9"
"","Colby Jones","Sac","G","22.7","23","5.3","11.3","21.9","0","0","16","0.438","9","0.444","0.52","0.52","1.1","0.9","0.2","0.2","0.3","0.3","2","1.3","2.2","4.4","94.1","105.5"
"","Baylor Scheierman","Bos","G","24.3","8","6","15.3","0","2","1","5","0.4","11","0.091","0.219","0.267","1.1","1.6","0.4","0.3","0","0","2.8","1.5","3.1","5.9","78.7","101.3"
"","PJ Hall","Den","C","22.9","9","2.5","16.9","12.2","2","0.5","5","0.8","2","0","0.571","0.571","1","0.9","0.2","0","0.1","0.1","1.9","1.2","2.1","9","0","0"
"","Jared Rhoden","Cha","G","25.4","4","2.9","32.4","11.1","0","0","6","0.333","2","0","0.25","0.25","1","1","0.5","0.3","0","0.3","2","1.5","2.5","10.9","0","0"
"","Jaylen Martin","Bro","G","21","3","1.6","18.7","0","0","0","1","0","1","1","0.75","0.75","1","0","0","0","0","0","1","1","1","0","0","0"
"","Adam Flagler","Okc","G","25.1","15","3.8","24.3","3.1","0","0","3","0","28","0.179","0.242","0.242","1","0.5","0","0.1","0.1","0.1","1.5","1","1.5","0","0","0"
"","Reece Beekman","Gol","G","23.3","2","2.1","10.2","0","0","0","1","1","0","0","1","1","1","0.5","0.5","0.5","0","0","1.5","1.5","2","12","0","0"
"","Mouhamed Gueye","Atl","F","22.2","2","5.7","17.8","20","0","0","2","0.5","2","0","0.25","0.25","1","1","0","0","0","0.5","2","1","2","0","41.9","119.7"
"","Xavier Tillman","Bos","F","26","25","7.4","10.8","17.7","2","0.5","17","0.353","20","0.2","0.324","0.33","1","1.4","0.3","0.3","0.2","0.3","2.4","1.3","2.7","4","75.6","104.9"
"","James Johnson","Ind","F","37.9","8","3.3","18.7","36.4","1","0","6","0.667","1","0","0.571","0.538","1","0.5","0.4","0","0.3","0.5","1.5","1.4","1.9","7.1","0","0"
"","Dominick Barlow","Atl","F","21.7","7","4.3","10.6","0","2","0.5","5","0.2","2","0.5","0.357","0.381","0.9","0.6","0.1","0.1","0","0","1.4","1","1.6","3.5","89.2","112.1"
"","Trey Alexander","Den","G","21.7","14","4.5","13.5","5.1","2","1","9","0.222","9","0.222","0.278","0.318","0.9","0.3","0.4","0.1","0.1","0.1","1.1","1.3","1.6","4.2","82.4","112"
"","Josh Christopher","Mia","G","23.1","6","3.7","19.5","43.4","2","0.5","4","0.5","1","0","0.4","0.425","0.8","0.3","0.7","0","0.2","0.7","1.2","1.5","1.8","6","0","0"
"","PJ Dozier","Min","G-F","28.2","9","3.9","8.3","24.5","6","0.167","0","0","3","0.667","1","0.621","0.8","0.6","0.6","0.1","0","0.1","1.3","1.3","1.9","6.8","0","0"
"","Ulrich Chomche","Tor","C","19.1","6","3.4","12.3","38.3","2","0.5","3","0.667","0","0","0.667","0.644","0.8","1","0.3","0","0","0.3","1.8","1.2","2.2","7.3","0","0"
"","D.J. Carton","Tor","G","24.5","4","8.4","14.4","35","1","1","4","0.25","3","0","0.143","0.202","0.8","1","0.8","0.5","0","1","1.8","1.5","2.5","4.1","42.7","118.6"
"","RayJ Dennis","Ind","G","23.8","3","1.5","28.4","41","2","1","0","0","1","0","0","0.532","0.7","0","0","0.3","0","0.3","0.7","0.7","0.7","0","0","0"
"","Leonard Miller","Min","F","21.2","3","2","28.3","29.1","2","1","1","0","1","0","0","0.347","0.7","1","0","0.3","0","0.3","1.7","0.7","1.7","0","0","0"
"","Isaiah Crawford","Sac","F","23.2","3","3.1","9.2","0","0","0","2","0.5","0","0","0.5","0.5","0.7","1","0","0","0","0","1.7","0.7","1.7","0","0","0"
"","Liam Robbins","Mil","C","25.5","13","4.4","14.1","42.2","10","0.5","6","0.333","2","0","0.25","0.363","0.7","0.9","0.2","0.2","0.2","0.5","1.6","0.8","1.8","4.6","78.4","98.8"
"","Tristen Newton","Ind","G","23.7","5","1.6","39.8","13.4","1","1","3","0.333","3","0","0.167","0.233","0.6","0","0.2","0","0","0.2","0.6","0.8","0.8","0","0","0"
"","Maxwell Lewis","Lal","F","22.5","7","4.2","12","25","0","0","6","0.333","0","0","0.333","0.333","0.6","0.3","0.3","0.1","0","0.3","0.9","0.9","1.1","3.6","76.5","119"
"","Cui Yongxi","Bro","F","21.7","5","2.1","33.6","0","2","0.5","4","0.25","3","0","0.143","0.19","0.6","0.4","0","0","0","0","1","0.6","1","0","0","0"
"","Garrett Temple","Tor","G-F","38.7","14","3.9","12.9","25.9","4","1","6","0.167","5","0.2","0.227","0.353","0.6","0.7","0.6","0.4","0.1","0.3","1.4","1.3","2","6.5","0","0"
"","Trey Jemison","Lal","C","25.2","2","8.3","5","82","2","0.5","0","0","0","0","0","0.568","0.5","3","0","0","1","0.5","3.5","0.5","3.5","0","0","89.1"
"","Jacob Toppin","Nyk","F","24.7","13","3","12.2","18.2","0","0","7","0.429","2","0","0.333","0.333","0.5","0.7","0.3","0.1","0","0.2","1.2","0.8","1.5","6.3","0","0"
"","Tristan Vukcevic","Was","F","21.9","5","2.4","21.1","0","0","0","2","0.5","4","0","0.167","0.167","0.4","0.2","0","0","0.2","0","0.6","0.4","0.6","0","0","0"
"","Stanley Umude","Mil","G","25.8","15","3.2","13.6","7.1","2","0","5","0","8","0.25","0.231","0.216","0.4","0.9","0.1","0.1","0.1","0.1","1.3","0.5","1.4","4.1","0","0"
"","Spencer Jones","Den","F","23.6","5","2.6","16.5","20","0","0","1","1","3","0","0.25","0.25","0.4","0.6","0","0.4","0","0.2","1","0.4","1","0","0","0"
"","Bronny James","Lal","G","20.3","11","2.3","19","0","2","1","6","0.167","4","0","0.1","0.184","0.4","0.2","0.3","0.2","0.1","0","0.5","0.6","0.8","5","0","0"
"","Daishen Nix","Min","G","22.9","3","4.4","19.5","76.6","2","0.5","0","0","1","0","0","0.266","0.3","1.3","1","0","0","1.3","1.7","1.3","2.7","6.6","44","103"
"","Jalen Bridges","Pho","F","23.7","4","4.2","15.5","38.3","2","0.5","0","0","3","0","0","0.129","0.3","0.8","0","0","0","0.5","1","0.3","1","0","18.4","120.8"
"","Chris Livingston","Mil","F","21.3","7","2.5","12.5","60","0","0","2","0.5","0","0","0.5","0.5","0.3","1","0.1","0.1","0","0.4","1.3","0.4","1.4","5","0","0"
"","Malevy Leons","Okc","F","25.3","6","3.5","9.7","31.1","4","0.5","1","0","1","0","0","0.266","0.3","0.5","0.2","0","0","0.2","0.8","0.5","1","3.6","0","0"
"","Kessler Edwards","Dal","F","24.5","14","3.6","9.3","9.1","0","0","4","0.5","6","0","0.2","0.2","0.3","0.4","0.1","0.1","0.1","0.1","0.6","0.4","0.8","2.5","0","0"
"","Orlando Robinson","Tor","C","24.5","1","1.4","30.1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","Emoni Bates","Cle","F","21","1","5.6","15.3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","121.7"
"","Tristen Newton","Min","G","23.7","1","1.3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0"
"","Jaylen Clark","Min","G","23.3","3","1.9","15.6","0","0","0","1","0","1","0","0","0","0","0.3","0","0","0","0","0.3","0","0.3","0","0","0"
"","Bobi Klintman","Det","F","21.9","1","4.3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","2","0","0","57.2"
"","Justin Minaya","Por","F","25.8","5","3.1","2.7","0","0","0","1","0","0","0","0","0","0","0.6","0.4","0.2","0","0","0.6","0.4","1","0","0","0"
"","Cole Swider","Det","F","25.7","2","6.6","16.2","0","0","0","0","0","5","0","0","0","0","1","0.5","0","0","0","1","0.5","1.5","0","15.1","110.4"
"","Mason Jones","Sac","G","26.5","3","4.2","6.8","0","0","0","0","0","2","0","0","0","0","1.3","2.3","0","0","0","1.3","2.3","3.7","0","133.5","107.8"
"","Harrison Ingram","San","F","22.2","1","6.8","6.3","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","103.2"
"","Riley Minix","San","F","24.3","1","6.8","6.3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","2","0","2","0","0","114.6"
"","Daniss Jenkins","Det","G","23.4","3","2.7","26.6","20","0","0","0","0","4","0","0","0","0","0","0","0","0","0.3","0","0","0","0","0","0"
"","Mac McClung","Orl","G","26","1","4.9","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","2","3","0","0","114.1"
"","Joe Ingles","Min","F-G","37.3","9","3.9","5","25","0","0","1","0","2","0","0","0","0","0.2","1","0","0","0.1","0.2","1","1.2","0","0","0"

