"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Julian Phillips","Chi","F","21.2","43","13.5","14","10.7","40","0.7","73","0.575","86","0.314","0.519","0.546","4.5","2.1","0.4","0.4","0.3","0.4","6.6","4.9","7","4.6","110.7","111.5"
"","Dariq Whitehead","Bro","G-F","20.5","8","7","22.9","10.7","3","0.333","4","0.25","21","0.524","0.7","0.684","4.5","0.6","0.1","0.4","0.1","0.4","5.1","4.6","5.3","3.7","111.6","117.2"
"","Kris Murray","Por","F","24.4","36","14.7","14.2","12.6","27","0.444","87","0.586","59","0.271","0.514","0.513","4.5","2.3","1","0.3","0.2","0.6","6.8","5.5","7.8","5.9","108.2","117.3"
"","Quinten Post","Gol","C","24.8","5","8.2","23","8.9","1","1","8","0.75","12","0.25","0.525","0.538","4.4","1.6","1","0","0.4","0.4","6","5.4","7","9.3","110.7","105.2"
"","Mo Bamba","Lac","C","26.7","26","12.8","15.9","15.1","23","0.652","50","0.64","45","0.267","0.526","0.547","4.4","4.4","0.5","0.3","0.8","0.7","8.8","5","9.3","6.7","106.8","94.4"
"","Sandro Mamukelashvili","San","F-C","25.7","25","8.5","18","13.7","22","0.727","24","0.792","45","0.422","0.688","0.705","4.4","2.5","0.4","0.2","0.2","0.4","6.9","4.8","7.3","7.7","126.5","107.6"
"","KJ Simpson","Cha","G","22.5","12","14.4","19.4","16.4","15","0.667","32","0.406","29","0.172","0.336","0.377","4.3","1.8","1.7","0.8","0.2","1","6","5.9","7.7","6.6","87.6","110.5"
"","Pelle Larsson","Mia","G","23.9","26","13","14.3","11.3","28","0.643","46","0.609","40","0.325","0.552","0.575","4.3","1.5","1","0.5","0.1","0.4","5.8","5.4","6.8","5.7","116","102.7"
"","Jeff Green","Hou","F","38.4","13","10.5","13.2","7.4","9","0.778","14","0.857","23","0.348","0.649","0.671","4.2","1.4","0.2","0.2","0.1","0.2","5.6","4.5","5.8","4","132.2","103.3"
"","Kyle Lowry","Phi","G","38.8","25","19.9","10.3","17.1","25","0.8","22","0.409","65","0.338","0.483","0.531","4.2","1.8","2.7","1","0.3","0.7","6","6.9","8.7","5.5","115.4","109.4"
"","Jamal Cain","Nor","F","25.8","17","13.4","13.2","10.9","16","0.625","27","0.593","30","0.3","0.518","0.539","4.1","2.7","0.6","0.5","0.4","0.4","6.8","4.6","7.4","5.6","112.2","112.2"
"","Thomas Bryant","Mia","C-F","27.5","10","11.5","13.4","6.6","11","1","11","0.545","17","0.353","0.536","0.624","4.1","3.2","0.4","0.1","0.9","0.2","7.3","4.5","7.7","6","130.9","106"
"","Gary Harris","Orl","G","30.4","20","16.3","11.3","11.1","8","0.5","18","0.556","54","0.352","0.535","0.536","4.1","1.3","0.5","0.7","0.3","0.5","5.3","4.6","5.8","3.4","104.7","110.8"
"","Cam Spencer","Mem","G","24.8","10","12.1","12.8","14.1","9","1","14","0.571","16","0.313","0.517","0.589","4","1.7","1.6","0.3","0.1","0.5","5.7","5.6","7.3","7.3","125.9","107.4"
"","Josh Richardson","Mia","G","31.4","8","18.7","14.1","17.2","4","1","16","0.313","22","0.273","0.368","0.402","4","1.5","1.5","1","0.1","1","5.5","5.5","7","4.4","87","105.2"
"","Mason Plumlee","Pho","F-C","34.9","42","17.4","10.7","24.1","62","0.613","111","0.595","2","0","0.584","0.606","4","6.3","1.9","0.5","0.7","0.9","10.4","5.9","12.2","8.3","125.5","102.4"
"","Reggie Jackson","Phi","G","34.8","24","11.8","17.3","15.7","7","0.857","37","0.432","54","0.352","0.489","0.505","4","1.3","1.5","0.5","0.1","0.7","5.2","5.5","6.8","6.7","101.6","109.9"
"","Cody Williams","Uta","F","20.2","26","21","11.7","15.5","22","0.636","57","0.368","63","0.238","0.363","0.389","3.9","2.2","1.3","0.5","0.4","0.8","6.1","5.2","7.4","4.3","86.5","114.7"
"","Jeff Dowtin Jr.","Phi","G","27.7","20","11.4","16.4","3.9","17","0.706","53","0.472","21","0.238","0.439","0.473","3.9","1.3","1.5","0.4","0.2","0.2","5.2","5.4","6.7","6.9","111.1","113.8"
"","Aaron Holiday","Hou","G","28.3","31","10.8","14.8","12.3","17","0.882","35","0.486","64","0.375","0.535","0.568","3.9","1","1.1","0.4","0.1","0.5","4.9","5","6","6","118.2","106.3"
"","Oso Ighodaro","Pho","F","22.5","36","16.1","10.7","16.8","35","0.543","102","0.569","2","0","0.558","0.565","3.8","3.5","1","0.5","0.4","0.6","7.3","4.8","8.3","5.9","114.8","107.9"
"","Dario Saric","Den","F-C","30.8","13","14.7","16","20.5","10","0.7","30","0.4","24","0.25","0.389","0.42","3.8","3.6","1.7","0.5","0.1","1.1","7.4","5.5","9.1","7.8","92.4","106"
"","Tre Jones","San","G","25","23","16.3","10.9","18.5","22","0.773","48","0.521","22","0.273","0.486","0.533","3.7","2.2","3.7","0.7","0.2","0.7","5.9","7.3","9.5","7.6","124.7","110.5"
"","Andre Jackson Jr.","Mil","G","23.2","39","17.3","11.4","24.1","13","0.538","71","0.507","58","0.362","0.523","0.527","3.6","3.1","1.4","0.6","0.3","1.1","6.8","5.1","8.2","5.8","103","101.4"
"","Moussa Diabate","Cha","F","23","33","17.8","9.1","24.5","28","0.5","86","0.605","0","0","0.605","0.6","3.6","6.4","0.6","0.6","0.8","0.8","10","4.2","10.6","5.4","118","106.5"
"","Dalen Terry","Chi","F","22.5","41","12.9","13.4","21.5","40","0.7","76","0.5","44","0.341","0.504","0.541","3.6","1.5","1.1","0.5","0.2","0.8","5.2","4.7","6.2","5.6","102.8","108.9"
"","Jae'Sean Tate","Hou","F","29.2","24","10.7","14.7","13.5","25","0.64","52","0.5","18","0.333","0.5","0.531","3.6","2.3","0.8","0.5","0.1","0.5","5.9","4.4","6.7","7","113.8","93.7"
"","GG Jackson","Mem","F","20.1","2","10.5","19","30","0","0","3","0.667","4","0.25","0.5","0.5","3.5","1.5","0","0","0","1.5","5","3.5","5","0","64.7","117"
"","JT Thor","Cle","F","22.4","8","4.9","26","29.4","8","0.875","9","0.667","5","0.6","0.75","0.799","3.5","0.8","0.1","0.3","0.4","0.8","4.3","3.6","4.4","5.3","116","99.3"
"","Kobe Brown","Lac","F","25.1","14","10","15.7","10.1","4","0.75","29","0.586","15","0.267","0.523","0.535","3.5","3","0.9","0.2","0.2","0.4","6.5","4.4","7.4","8.5","115.5","100.5"
"","DeAndre Jordan","Den","C","36.5","31","12","12.8","23","29","0.414","77","0.636","0","0","0.636","0.613","3.5","4.5","0.8","0.3","0.5","0.7","8.1","4.4","8.9","7.8","114.5","102"
"","Isaac Jones","Sac","F","24.5","22","8","16.7","18.3","20","0.55","45","0.689","4","0.25","0.663","0.657","3.5","1.4","0.2","0.1","0.4","0.5","4.9","3.6","5","5","113","105.2"
"","Wendell Moore Jr.","Det","G","23.3","17","12.4","12.7","15.7","14","0.929","35","0.543","13","0.231","0.49","0.554","3.5","2.6","1.3","0.6","0.2","0.5","6.1","4.8","7.4","7.4","117.2","107.8"
"","Doug McDermott","Sac","F","33.1","26","8.5","15.3","5.2","5","0.6","10","0.5","63","0.413","0.603","0.605","3.5","0.6","0.2","0.2","0","0.2","4.1","3.7","4.3","3.5","115.4","109.4"
"","Micah Potter","Uta","C","26.8","16","17.3","9.3","16.5","3","1","11","0.545","39","0.333","0.51","0.526","3.4","3.9","0.8","0.3","0.4","0.6","7.3","4.2","8.1","5.1","108.5","115.5"
"","Cam Reddish","Lal","F-G","25.4","29","18.6","8.7","12.3","21","0.619","40","0.575","45","0.289","0.5","0.52","3.4","2.1","0.8","1","0.3","0.4","5.5","4.2","6.3","3.8","107.1","110.4"
"","Ousmane Dieng","Okc","F","21.7","24","10.4","16.1","6.9","15","0.667","33","0.485","48","0.271","0.438","0.462","3.4","2.3","0.7","0.5","0.2","0.3","5.6","4.1","6.3","6.8","102.9","99"
"","Jabari Walker","Por","F","22.5","31","10.2","15.5","14.6","18","0.722","65","0.585","28","0.179","0.489","0.515","3.4","2.9","0.5","0.4","0.1","0.5","6.3","3.8","6.7","6.7","104.3","107.5"
"","Blake Wesley","San","G","21.9","27","10","18","24","21","0.714","58","0.552","21","0.19","0.481","0.516","3.4","0.9","1.9","0.3","0.1","0.9","4.2","5.3","6.1","7.2","100.6","114.3"
"","Bruno Fernando","Tor","F-C","26.4","17","8.6","19.1","22.1","8","0.75","49","0.531","0","0","0.531","0.552","3.4","3","1.1","0.2","0.5","0.8","6.4","4.5","7.5","10.4","107","99.7"
"","Gui Santos","Gol","F","22.6","19","10.7","12.9","16.6","6","0.5","17","0.588","33","0.394","0.59","0.589","3.3","2.1","1.1","0.4","0.2","0.5","5.4","4.3","6.4","7.4","117","104"
"","Elijah Harkless","Uta","G","25","6","16.1","11.2","8.6","6","0.5","5","0.4","16","0.25","0.381","0.402","3.2","2.2","0.8","1.2","0","0.3","5.3","4","6.2","4.4","99.4","109.4"
